Customer ID,Recency,Frequency,Monetary,Profit,Quantity,Cluster
AA-10315,185,5,5563.56,-362.8825000000002,30,0
AA-10375,20,9,1056.39,277.3824,41,0
AA-10480,260,4,1790.5120000000002,435.82739999999995,36,1
AA-10645,56,6,5086.9349999999995,857.8033,64,0
AB-10015,416,3,886.156,129.34650000000002,13,1
AB-10060,55,8,7755.620000000001,2054.5885,56,0
AB-10105,42,10,14473.570999999998,5444.8055,73,0
AB-10150,42,5,966.71,313.6597,37,0
AB-10165,26,8,1113.838,220.813,48,0
AB-10255,167,9,914.5319999999999,264.5675,39,0
AB-10600,51,4,1515.862,-274.96040000000016,38,0
AC-10420,233,3,925.8000000000001,-62.13420000000007,17,1
AC-10450,12,7,5527.846,1366.0097999999998,43,0
AC-10615,7,5,2537.6859999999997,298.82730000000004,59,0
AC-10660,283,5,657.316,-28.700400000000013,16,1
AD-10180,30,8,6106.88,1869.9294,40,0
AF-10870,42,7,2052.908,317.97120000000007,51,0
AF-10885,416,4,861.565,-163.11749999999998,37,1
AG-10270,279,5,2582.8979999999997,732.7398999999999,58,0
AG-10300,119,4,367.548,59.288399999999996,16,1
AG-10330,9,5,660.972,-5.137099999999979,47,0
AG-10390,115,5,200.945,69.2784,33,1
AG-10495,79,8,2356.855,295.6668000000001,93,0
AG-10525,846,4,1455.038,-152.76130000000003,33,1
AG-10675,98,7,3489.0396000000005,-246.4257000000001,54,0
AG-10765,78,4,170.584,-8.431000000000033,20,1
AG-10900,97,10,4510.797,343.68239999999986,92,0
AH-10030,13,7,1744.7,365.2151999999999,54,0
AH-10075,35,10,3250.337,281.1889999999999,75,0
AH-10120,61,7,1735.5140000000001,-2.3146000000000413,65,0
AH-10195,56,4,1587.452,-378.5508999999999,28,1
AH-10210,7,9,4805.344,1308.5546,53,0
AH-10465,231,5,2495.3915999999995,-196.12010000000024,35,0
AH-10585,22,4,738.504,83.96300000000002,17,1
AH-10690,411,12,7888.294,1298.0165999999995,102,0
AI-10855,14,10,4375.786,867.7271000000001,72,0
AJ-10780,76,7,4867.344,150.71299999999982,62,0
AJ-10795,167,7,4501.391,1158.7064,88,0
AJ-10945,86,7,1839.24,521.1351999999999,40,0
AJ-10960,75,3,629.2479999999999,60.42649999999998,22,1
AM-10360,29,5,814.012,194.9878,48,0
AM-10705,163,8,5664.022,1085.7325999999998,81,0
AO-10810,502,1,161.28,12.095999999999997,2,1
AP-10720,42,8,1638.554,285.7887999999999,85,0
AP-10915,99,10,3323.556,579.3113,102,0
AR-10345,112,4,1055.694,-221.0544000000001,18,1
AR-10405,126,5,2236.1279999999997,-98.76459999999983,29,0
AR-10510,15,5,264.86400000000003,43.66949999999999,33,1
AR-10540,7,6,6608.448,2884.6207999999997,33,0
AR-10570,535,1,88.15,32.632999999999996,6,1
AR-10825,59,8,4523.336,494.83520000000004,54,0
AS-10045,89,7,3050.692,-253.5746000000003,48,0
AS-10090,29,9,3255.31,64.53740000000002,81,0
AS-10135,42,2,58.82,21.8496,9,1
AS-10225,23,5,4260.784,719.7750999999998,41,0
AS-10240,193,7,584.6080000000001,33.715799999999966,39,1
AS-10285,20,6,3214.236,354.6276,39,0
AS-10630,93,7,833.398,136.49189999999996,34,0
AT-10435,22,6,1171.814,100.87679999999999,28,0
AT-10735,14,10,3831.864,974.107,60,0
AW-10840,21,4,649.3760000000001,65.77249999999998,24,1
AW-10930,47,7,2852.9680000000003,-104.54860000000019,68,0
AY-10555,15,4,497.014,103.34989999999999,34,1
AZ-10750,161,6,1622.018,154.95029999999997,40,0
BB-10990,106,5,744.34,11.583899999999957,26,1
BB-11545,29,9,6765.728,1015.0749999999995,83,0
BC-11125,203,9,2933.6760000000004,251.5974,60,0
BD-11320,34,12,5718.521000000001,1094.5036999999998,75,0
BD-11500,36,6,4411.243,1142.1225000000002,49,0
BD-11560,279,2,320.54,116.714,11,1
BD-11605,98,7,3288.471,634.8462999999999,74,0
BD-11620,70,6,1538.1100000000001,206.75689999999994,27,0
BD-11635,10,3,582.6460000000001,141.53399999999996,19,1
BD-11725,94,6,1526.5,333.9791,29,0
BD-11770,328,6,658.466,141.26499999999996,21,1
BE-11335,120,5,4204.676,1487.7739000000001,35,0
BE-11410,99,5,2261.438,755.9150999999997,19,1
BE-11455,255,6,1727.6520000000003,139.2007999999999,40,0
BF-10975,92,7,599.798,227.43839999999994,38,0
BF-11005,40,4,1333.88,-291.3811000000001,26,1
BF-11020,75,8,2888.5060000000003,302.02,78,0
BF-11080,26,3,272.95,110.92719999999998,29,1
BF-11170,17,11,5907.972000000001,1538.2127,102,0
BF-11215,66,4,1585.162,523.2133,48,0
BF-11275,58,3,791.9899999999999,25.87019999999999,11,1
BG-11035,29,8,2798.948,-711.4274000000001,35,0
BG-11695,37,6,1874.1719999999998,107.5714999999998,24,0
BG-11740,58,6,1006.356,119.34789999999995,22,1
BH-11710,24,8,6255.351000000001,802.7897999999999,97,0
BK-11260,78,6,659.1379999999999,-63.764400000000045,58,0
BM-11140,308,4,11789.63,-1659.958100000002,64,0
BM-11575,101,6,808.162,95.5816,22,1
BM-11650,34,11,7294.185,2199.2780999999995,95,0
BM-11785,219,10,1338.842,137.74389999999994,44,0
BN-11470,25,4,265.296,36.61309999999998,15,1
BN-11515,10,5,1459.344,340.70539999999994,79,0
BO-11350,138,5,2682.728,278.777,43,0
BO-11425,76,2,130.83,59.45219999999999,7,1
BP-11050,84,5,983.42,209.78300000000002,30,1
BP-11095,18,12,2442.044,433.9750999999999,70,0
BP-11155,90,6,1697.8609999999999,647.3847000000001,32,0
BP-11185,2,9,3675.861,363.5990999999999,69,0
BP-11230,40,5,1181.49,-197.2695,14,1
BP-11290,13,7,2475.157,-319.0637000000001,51,0
BS-11365,559,5,10501.653,2616.0643999999998,39,0
BS-11380,29,5,3887.834,-17.53219999999999,58,0
BS-11590,36,6,2454.928,381.7807,41,0
BS-11665,583,3,3288.1100000000006,238.7367999999999,47,1
BS-11755,2,7,2562.382,-113.29840000000004,45,0
BS-11800,266,2,949.4300000000001,194.0516,22,1
BT-11305,337,5,2567.656,417.59180000000003,33,1
BT-11395,303,6,2186.6130000000003,257.91629999999986,38,0
BT-11440,561,4,603.876,-77.52560000000003,16,1
BT-11485,660,2,415.19599999999997,126.86939999999997,11,1
BT-11530,92,5,2684.492,409.4983,44,0
BT-11680,21,7,3196.752,447.7483999999999,88,0
BV-11245,335,5,1523.2730000000001,315.2214,49,0
BW-11065,213,3,385.516,-58.286599999999964,8,1
BW-11110,122,8,4750.358,921.2573999999995,74,0
BW-11200,204,6,1738.406,246.9973,49,0
CA-11965,97,6,3789.7228,1143.3817000000001,29,0
CA-12055,402,5,1679.7240000000002,211.25589999999994,49,0
CA-12265,57,9,2648.2872,279.6183000000001,65,0
CA-12310,14,4,1421.954,246.02179999999998,25,1
